fips,County,State,Alpha code,Population 18-24,Bachelors 18-24,Population Over 25,Bachelors Over 25,population,total cases,total deaths,hospital beds,hospital beds usage,hospital beds covid,hospital icu beds,hospital icu beds usage,hospital icu beds covid,vaccination initiated,vaccination completed,vaccination initiated ratio,vaccination completed ratio,vaccination addl dose,vaccination addl dose ratio,vaccination booster,vaccination booster ratio
4021,Pinal County,Arizona,AZ,37577,2303,325679,74641,462789,158458,1479,294.0,142.0,4.0,40.0,15.0,1.0,307256.0,269175.0,0.664,0.582,121256.0,0.262,52673.0,0.114
4025,Yavapai County,Arizona,AZ,15903,892,193188,55996,235099,61041,1074,226.0,211.0,4.0,29.0,27.0,1.0,141096.0,122153.0,0.6,0.52,64770.0,0.276,34861.0,0.148
4027,Yuma County,Arizona,AZ,20549,776,135602,22554,213787,72006,938,230.0,230.0,4.0,42.0,10.0,0.0,250626.0,164466.0,0.95,0.769,75126.0,0.351,40128.0,0.188
5007,Benton County,Arkansas,AR,24780,3238,201794,77673,279141,80658,571,278.0,245.0,11.0,51.0,42.0,2.0,198001.0,162246.0,0.709,0.581,73555.0,0.264,36938.0,0.132
5031,Craighead County,Arkansas,AR,12587,2236,72269,18605,110332,47766,135,459.0,411.0,26.0,55.0,48.0,2.0,64591.0,54769.0,0.585,0.496,24262.0,0.22,9023.0,0.082
5045,Faulkner County,Arkansas,AR,19260,2083,80027,23639,126007,43795,79,238.0,172.0,7.0,34.0,31.0,2.0,78923.0,67450.0,0.626,0.535,30576.0,0.243,12582.0,0.1
5051,Garland County,Arkansas,AR,7543,267,73159,18961,99386,27847,248,441.0,361.0,16.0,35.0,31.0,2.0,57095.0,48038.0,0.574,0.483,22731.0,0.229,12124.0,0.122
5069,Jefferson County,Arkansas,AR,6440,655,44084,9498,66824,22436,52,226.0,125.0,6.0,18.0,8.0,1.0,41577.0,32750.0,0.622,0.49,13515.0,0.202,5949.0,0.089
5085,Lonoke County,Arkansas,AR,6009,90,51112,10804,73309,24207,18,0.0,0.0,0.0,0.0,0.0,0.0,43265.0,36733.0,0.59,0.501,15494.0,0.211,6961.0,0.095
5119,Pulaski County,Arkansas,AR,36125,5246,271548,102310,391911,129506,924,2236.0,1828.0,46.0,324.0,268.0,9.0,295049.0,247862.0,0.753,0.632,128053.0,0.327,65615.0,0.167
5125,Saline County,Arkansas,AR,10239,621,87929,24428,122437,38998,72,210.0,85.0,1.0,25.0,12.0,2.0,78150.0,66946.0,0.638,0.547,31213.0,0.255,14305.0,0.117
5131,Sebastian County,Arkansas,AR,11330,1665,87277,18159,127827,40222,199,509.0,459.0,12.0,69.0,51.0,2.0,82169.0,67872.0,0.643,0.531,28722.0,0.225,12434.0,0.097
5143,Washington County,Arkansas,AR,39730,4450,157157,55549,239187,82004,306,443.0,358.0,5.0,58.0,37.0,2.0,175053.0,144928.0,0.732,0.606,66081.0,0.276,34482.0,0.144
5145,White County,Arkansas,AR,8887,608,50973,10681,78753,27809,23,200.0,175.0,6.0,30.0,24.0,1.0,42532.0,36121.0,0.54,0.459,14760.0,0.187,6080.0,0.077
6001,Alameda County,California,CA,131529,23438,1179725,630799,1671329,408478,1833,2618.0,1663.0,81.0,247.0,137.0,5.0,1539534.0,1414463.0,0.921,0.846,1018420.0,0.609,0.0,0.0
6007,Butte County,California,CA,30393,2166,135390,46747,219186,52479,119,422.0,371.0,13.0,38.0,22.0,1.0,130560.0,119178.0,0.596,0.544,70975.0,0.324,0.0,0.0
6013,Contra Costa County,California,CA,94568,11236,811661,366230,1153526,299517,1138,1274.0,995.0,47.0,144.0,110.0,5.0,1045276.0,977904.0,0.906,0.848,672783.0,0.583,0.0,0.0
6017,El Dorado County,California,CA,11341,1018,144290,55466,192843,39570,57,102.0,60.0,2.0,16.0,5.0,1.0,132316.0,120287.0,0.686,0.624,74851.0,0.388,0.0,0.0
6019,Fresno County,California,CA,101151,8526,633325,153012,999101,332922,2664,1748.0,1644.0,83.0,162.0,136.0,7.0,698830.0,630682.0,0.699,0.631,332959.0,0.333,0.0,0.0
6023,Humboldt County,California,CA,15609,800,95294,31044,135558,29502,39,173.0,129.0,6.0,16.0,13.0,0.0,101670.0,92530.0,0.75,0.683,59508.0,0.439,0.0,0.0
6025,Imperial County,California,CA,17440,1035,111134,18617,181215,91128,712,261.0,118.0,4.0,16.0,9.0,1.0,273142.0,181580.0,0.95,0.95,84039.0,0.464,0.0,0.0
6029,Kern County,California,CA,93740,6060,562332,107077,900202,306594,2179,922.0,818.0,25.0,108.0,92.0,3.0,555059.0,496652.0,0.617,0.552,240737.0,0.267,0.0,0.0
6031,Kings County,California,CA,16666,612,95511,15220,152940,67766,201,121.0,106.0,7.0,14.0,10.0,1.0,81095.0,71338.0,0.53,0.466,33833.0,0.221,0.0,0.0
6033,Lake County,California,CA,4196,823,49755,9264,64386,15049,11,53.0,36.0,3.0,8.0,7.0,1.0,40726.0,36181.0,0.633,0.562,20111.0,0.312,0.0,0.0
6037,Los Angeles County,California,CA,891553,131309,6845803,2440180,10039107,3742340,35979,17799.0,13645.0,574.0,1897.0,1313.0,58.0,8423777.0,7558535.0,0.839,0.753,4559722.0,0.454,0.0,0.0
6039,Madera County,California,CA,15848,1305,100864,21573,157327,55716,194,106.0,3.0,2.0,10.0,5.0,1.0,98593.0,88415.0,0.627,0.562,44415.0,0.282,0.0,0.0
6041,Marin County,California,CA,15718,2767,191896,120127,258826,55715,113,429.0,309.0,12.0,22.0,19.0,0.0,254050.0,233837.0,0.95,0.903,177301.0,0.685,0.0,0.0
6045,Mendocino County,California,CA,5685,827,65421,16164,86749,21880,10,93.0,68.0,1.0,16.0,13.0,0.0,68068.0,60643.0,0.785,0.699,36909.0,0.425,0.0,0.0
6047,Merced County,California,CA,32578,1761,174432,28290,277680,90774,518,275.0,160.0,6.0,24.0,9.0,1.0,180208.0,158668.0,0.649,0.571,76293.0,0.275,0.0,0.0
6053,Monterey County,California,CA,44009,4669,278754,76760,434061,123684,448,688.0,431.0,21.0,43.0,24.0,0.0,364464.0,325770.0,0.84,0.751,184361.0,0.425,0.0,0.0
6055,Napa County,California,CA,11917,707,96760,38618,137744,36489,21,141.0,115.0,3.0,19.0,15.0,0.0,123912.0,111569.0,0.9,0.81,74912.0,0.544,0.0,0.0
6057,Nevada County,California,CA,5330,143,79647,31286,99755,22798,54,96.0,73.0,4.0,12.0,9.0,1.0,72059.0,64613.0,0.722,0.648,40634.0,0.407,0.0,0.0
6059,Orange County,California,CA,292553,45052,2204111,964122,3175692,799757,8032,4727.0,3793.0,121.0,459.0,352.0,16.0,2604652.0,2373724.0,0.82,0.747,1465408.0,0.461,0.0,0.0
6061,Placer County,California,CA,31028,3043,296525,123392,398329,92574,386,795.0,736.0,56.0,92.0,76.0,4.0,296240.0,275247.0,0.744,0.691,175429.0,0.44,0.0,0.0
6065,Riverside County,California,CA,240281,20720,1640068,409850,2470546,782545,6738,3210.0,2385.0,70.0,360.0,241.0,10.0,1668867.0,1495821.0,0.676,0.605,806335.0,0.326,0.0,0.0
6067,Sacramento County,California,CA,135467,15537,1089547,368064,1552058,415194,3346,2276.0,2116.0,92.0,266.0,233.0,9.0,1181663.0,1085373.0,0.761,0.699,674021.0,0.434,0.0,0.0
6069,San Benito County,California,CA,6411,231,44072,11855,62808,18987,10,25.0,17.0,1.0,4.0,3.0,1.0,51119.0,46726.0,0.814,0.744,27521.0,0.438,0.0,0.0
6071,San Bernardino County,California,CA,223864,18871,1412051,324956,2180085,750193,8070,3355.0,2629.0,75.0,443.0,281.0,10.0,1407122.0,1276508.0,0.645,0.586,675710.0,0.31,0.0,0.0
6073,San Diego County,California,CA,328457,40355,2268126,975935,3338330,1076011,5646,5557.0,4081.0,173.0,556.0,349.0,11.0,2996878.0,2567396.0,0.898,0.769,1561659.0,0.468,0.0,0.0
6075,San Francisco County,California,CA,53657,21731,644349,395589,881549,213188,704,2086.0,1651.0,57.0,248.0,175.0,4.0,842934.0,759702.0,0.95,0.862,596907.0,0.677,0.0,0.0
6077,San Joaquin County,California,CA,76656,5522,509375,116879,762148,229232,2114,812.0,673.0,39.0,91.0,72.0,7.0,567364.0,512681.0,0.744,0.673,285756.0,0.375,0.0,0.0
6079,San Luis Obispo County,California,CA,43571,3096,190875,78677,283111,75326,303,194.0,182.0,2.0,35.0,16.0,0.0,204809.0,186086.0,0.723,0.657,119388.0,0.422,0.0,0.0
6081,San Mateo County,California,CA,52325,10778,536358,290134,766573,197162,466,772.0,428.0,30.0,76.0,41.0,1.0,735596.0,672052.0,0.95,0.877,503038.0,0.656,0.0,0.0
6083,Santa Barbara County,California,CA,67823,5625,278594,103392,446499,121021,382,741.0,466.0,13.0,65.0,43.0,0.0,357526.0,318026.0,0.801,0.712,191639.0,0.429,0.0,0.0
6085,Santa Clara County,California,CA,166815,35577,1326338,752387,1927852,504337,2458,3250.0,2483.0,120.0,343.0,272.0,14.0,1839969.0,1689506.0,0.95,0.876,1226912.0,0.636,0.0,0.0
6087,Santa Cruz County,California,CA,38247,3940,178131,76707,273213,73472,169,191.0,166.0,7.0,14.0,14.0,0.0,231888.0,212902.0,0.849,0.779,147343.0,0.539,0.0,0.0
6089,Shasta County,California,CA,13744,729,128563,30566,180080,45132,348,408.0,332.0,11.0,39.0,34.0,1.0,96152.0,85515.0,0.534,0.475,47734.0,0.265,0.0,0.0
6095,Solano County,California,CA,38896,1742,312815,89226,447643,124182,181,598.0,476.0,31.0,54.0,41.0,2.0,349789.0,312789.0,0.781,0.699,195500.0,0.437,0.0,0.0
6097,Sonoma County,California,CA,39122,4979,353683,135480,494336,120909,302,582.0,490.0,24.0,50.0,32.0,1.0,430122.0,399326.0,0.87,0.808,272958.0,0.552,0.0,0.0
6099,Stanislaus County,California,CA,53441,2145,351940,66212,550660,169876,1584,857.0,716.0,15.0,102.0,75.0,1.0,366111.0,333441.0,0.665,0.606,171677.0,0.312,0.0,0.0
6101,Sutter County,California,CA,9242,538,65284,14322,96971,28542,59,14.0,0.0,0.0,0.0,0.0,0.0,64854.0,59470.0,0.669,0.613,30349.0,0.313,0.0,0.0
6103,Tehama County,California,CA,6239,134,43603,7287,65084,18023,70,106.0,37.0,2.0,5.0,4.0,0.0,31783.0,28723.0,0.488,0.441,14857.0,0.228,0.0,0.0
6107,Tulare County,California,CA,49891,2281,286363,46243,466195,170622,1254,439.0,374.0,10.0,55.0,29.0,1.0,292086.0,260782.0,0.627,0.559,125548.0,0.269,0.0,0.0
6111,Ventura County,California,CA,75042,10126,577637,220554,846006,240687,1229,1170.0,897.0,46.0,97.0,83.0,4.0,683088.0,625711.0,0.807,0.74,377574.0,0.446,0.0,0.0
6113,Yolo County,California,CA,47569,7543,131004,54396,220500,55611,146,160.0,121.0,6.0,14.0,11.0,1.0,177771.0,162099.0,0.806,0.735,109990.0,0.499,0.0,0.0
6115,Yuba County,California,CA,7626,383,54062,10339,78668,22147,12,217.0,156.0,3.0,24.0,8.0,0.0,44321.0,40152.0,0.563,0.51,19852.0,0.252,0.0,0.0
8001,Adams County,Colorado,CO,49709,7290,348368,100251,517421,168014,1030,1568.0,1246.0,16.0,202.0,152.0,4.0,404976.0,371658.0,0.783,0.718,200034.0,0.387,94383.0,0.182
8005,Arapahoe County,Colorado,CO,55370,7454,455475,211627,656590,199097,1012,1142.0,765.0,14.0,130.0,100.0,2.0,516865.0,471200.0,0.787,0.718,282565.0,0.43,141543.0,0.216
8013,Boulder County,Colorado,CO,51749,9495,218841,138260,326196,92400,167,626.0,333.0,11.0,78.0,42.0,1.0,297234.0,270230.0,0.911,0.828,186651.0,0.572,113842.0,0.349
8014,Broomfield County,Colorado,CO,6161,1464,54347,31437,70465,18598,11,38.0,21.0,0.0,20.0,10.0,0.0,62991.0,59133.0,0.894,0.839,39870.0,0.566,21902.0,0.311
8031,Denver County,Colorado,CO,59625,15156,525770,299969,727211,227328,1114,1786.0,1114.0,19.0,203.0,107.0,3.0,649079.0,585248.0,0.893,0.805,361440.0,0.497,197483.0,0.272
8035,Douglas County,Colorado,CO,30107,5783,258961,160303,351154,101902,198,648.0,396.0,9.0,72.0,52.0,2.0,297140.0,270621.0,0.846,0.771,166109.0,0.473,81411.0,0.232
8041,El Paso County,Colorado,CO,79091,11678,492193,209103,720403,240162,1540,1136.0,825.0,18.0,132.0,81.0,1.0,567993.0,492161.0,0.788,0.683,242258.0,0.336,112621.0,0.156
8059,Jefferson County,Colorado,CO,43622,6572,427324,221962,582881,162506,1148,537.0,386.0,10.0,115.0,60.0,1.0,516254.0,472967.0,0.886,0.811,297716.0,0.511,165192.0,0.283
8069,Larimer County,Colorado,CO,52337,8729,248105,131335,356899,110985,299,653.0,368.0,2.0,72.0,39.0,1.0,283114.0,254826.0,0.793,0.714,161142.0,0.452,88185.0,0.247
8077,Mesa County,Colorado,CO,14592,1545,112203,35928,154210,52492,356,320.0,254.0,5.0,44.0,20.0,0.0,88956.0,80266.0,0.577,0.52,47699.0,0.309,24146.0,0.157
