County,Population 18-24,Bachelors 18-24,Population Over 25,Bachelors Over 25
"Miami-Dade County, Florida",225165,27893,1919710,668071
"Monroe County, Florida",4873,316,63938,23504
"Nassau County, Florida",5844,1026,73523,26823
"Okaloosa County, Florida",18226,1515,150333,49325
"Orange County, Florida",153469,21154,992892,406859
"Osceola County, Florida",39236,4363,282891,83226
"Palm Beach County, Florida",114375,12755,1122303,457101
"Pasco County, Florida",44098,5012,442301,127810
"Pinellas County, Florida",62613,11359,752553,280336
"Polk County, Florida",70158,5857,545515,123446
"Putnam County, Florida",4657,0,54455,8989
"St. Johns County, Florida",20506,4292,220932,116323
"St. Lucie County, Florida",26661,1963,262047,69588
"Santa Rosa County, Florida",15516,2155,139888,42317
"Sarasota County, Florida",26697,4591,372225,151366
"Seminole County, Florida",39624,7173,341302,137882
"Sumter County, Florida",3782,437,130872,49682
"Volusia County, Florida",47470,2648,431403,119384
"Walton County, Florida",4881,428,61295,19873
"Barrow County, Georgia",7927,333,59170,13388
"Bartow County, Georgia",9300,739,77686,18002
"Bibb County, Georgia",15157,1491,103347,26248
"Bulloch County, Georgia",21189,1633,45609,14220
"Carroll County, Georgia",16413,1557,78942,18527
"Catoosa County, Georgia",4841,157,48886,12061
"Chatham County, Georgia",32669,4075,207102,73713
"Cherokee County, Georgia",23500,2866,194601,80789
"Clarke County, Georgia",35315,6519,73843,33599
"Clayton County, Georgia",29457,1977,187870,42935
"Cobb County, Georgia",71837,11030,528777,272422
"Columbia County, Georgia",11775,516,110160,41263
"Coweta County, Georgia",13121,1729,105024,37421
"DeKalb County, Georgia",66074,12307,527161,244263
"Dougherty County, Georgia",8346,257,54764,13239
"Douglas County, Georgia",14441,1099,96016,27966
"Effingham County, Georgia",5144,835,45816,11622
"Fayette County, Georgia",11318,2559,83439,40375
"Floyd County, Georgia",11455,544,65652,15795
"Forsyth County, Georgia",22183,3209,177175,100835
"Fulton County, Georgia",108097,27254,744974,433214
"Glynn County, Georgia",6789,816,61231,19874
"Gwinnett County, Georgia",94204,15422,630083,244414
"Hall County, Georgia",22462,1137,140044,42576
"Henry County, Georgia",24294,2742,162471,46448
"Houston County, Georgia",16675,2042,110175,35647
"Jackson County, Georgia",6696,776,56452,14864
"Liberty County, Georgia",10745,881,39053,8638
"Lowndes County, Georgia",18933,2004,71690,21059
"Muscogee County, Georgia",18844,2183,133791,42502
"Newton County, Georgia",12351,561,75979,18779
"Paulding County, Georgia",14341,636,119091,31196
"Richmond County, Georgia",24325,2502,135742,34400
"Rockdale County, Georgia",9100,313,63456,20758
"Spalding County, Georgia",6533,27,46443,9259
"Troup County, Georgia",6042,650,47618,11703
"Walker County, Georgia",5927,638,48422,9081
"Walton County, Georgia",7758,362,71140,17613
"Whitfield County, Georgia",11131,364,66351,13717
"Hawaii County, Hawaii",13672,1294,149453,48006
"Honolulu County, Hawaii",89854,12512,701785,264502
"Kauai County, Hawaii",5424,256,52869,15463
"Maui County, Hawaii",10537,852,119668,34722
"Ada County, Idaho",47944,6931,358124,164971
"Bannock County, Idaho",9195,779,57716,17096
"Bonneville County, Idaho",10184,483,80883,27340
"Canyon County, Idaho",24004,1302,160656,36016
"Kootenai County, Idaho",13640,1032,129507,38325
"Twin Falls County, Idaho",7574,607,61479,13849
"Champaign County, Illinois",47998,10149,119927,57328
"Cook County, Illinois",450330,93301,3589350,1523360
"DeKalb County, Illinois",17597,1928,61327,18706
"DuPage County, Illinois",78305,15531,642205,338251
"Kane County, Illinois",48478,6153,344233,123629
"Kankakee County, Illinois",11480,862,70777,15488
"Kendall County, Illinois",13205,2305,87249,31833
"Lake County, Illinois",73765,12949,473166,227469
"LaSalle County, Illinois",7964,688,77585,14967
"McHenry County, Illinois",26678,4973,215933,77521
"McLean County, Illinois",30281,2807,105182,49973
"Macon County, Illinois",8897,727,69837,17214
"Madison County, Illinois",23870,3611,184485,58138
"Peoria County, Illinois",17300,3141,118949,42304
"Rock Island County, Illinois",11843,909,98274,25255
"St. Clair County, Illinois",20292,2303,174476,54594
